country,New_Q59,n,Party name + notes,prime_minister,cabinet_party,Links for political party,Link for cabinet of country (1 per country)
Romania,102,20,PRO România (PRO),0,0,https://en.wikipedia.org/wiki/PRO_Romania,
Romania,263,37,SOS Romania,0,0,,
Romania,264,12,Partidul Umanist Social Liberal -- 0 seats,0,0,,
Slovakia,135,189,Progressive Slovakia (PS),0,0,https://en.wikipedia.org/wiki/Progressive_Slovakia,https://en.wikipedia.org/wiki/Fico%27s_Fourth_Cabinet
Slovakia,138,51,Christian Democratic Movement (KDH),0,0,https://en.wikipedia.org/wiki/Christian_Democratic_Movement,
Slovakia,195,14,Hungarian Alliance,0,0,https://en.wikipedia.org/wiki/Hungarian_Alliance_(Slovak_political_party),
Slovakia,196,115,Voice – Social Democracy (Hlas–SD) ,0,1,https://en.wikipedia.org/wiki/Voice_%E2%80%93_Social_Democracy,
Slovakia,197,20,Slovak National Party (SNS),0,1,https://en.wikipedia.org/wiki/Slovak_National_Party,
Slovakia,198,67,Republic Movement,0,0,https://en.wikipedia.org/wiki/Republic_(Slovakia),
Slovakia,272,4,The Democrats -- extra-parliamentary,0,0,,
Slovakia,273,44,Obyčajní ľudia a nezávislé osobnosti & Za ľudí & Kresťanská únia (koalícia),0,0,,
Spain,37,33,Animalist Party With the Environment (PACMA),0,0,,https://en.wikipedia.org/wiki/Third_government_of_Pedro_S%C3%A1nchez 
Spain,255,84,SUMAR,0,1,"https://en.wikipedia.org/wiki/List_of_political_parties_in_Spain#:~:text=This%20article%20serves%20as%20a,)%20and%20Sumar%20(SMR).",
Spain,304,3,UPN,0,0,,
Sweden,76,48,The Liberals,0,1,https://en.wikipedia.org/wiki/Liberals_(Sweden),https://en.wikipedia.org/wiki/Kristersson_cabinet
United Kingdom,11,5,UUP,0,0,,https://en.wikipedia.org/wiki/Sunak_ministry
United Kingdom,187,2,Ulster Unionist Party,0,0,,
United Kingdom,250,200,UK reform -- used to be brexit party ,0,0,,
