New_Q59,party_name,incumbent_apr_2023
193,"Tautos ir teisingumo sąjunga (centristai, tautininkai))",0
194,Demokratų sąjunga 'Vardan Lietuvos'; DSVL,0
195,Aliancia–Szövetség,0
196,"Hlas – sociálna demokracia, HLAS–SD",0
197,"Slovenská národná strana, SNS",0
198,Republika,0
199,Uniunea Salvați România (USR),0
200,Demokratikus Koalíció (DK),0
201,Jobbik Magyarországért Mozgalom (Jobbik),0
202,Lehet Más a Politika (LMP),0
203,Momentum Mozgalom (Momentum),0
204,Magyar Kétfarkú Kutyapárt (MKKP),0
205,Magyar Szocialista Párt (MSZP),0
206,Párbeszéd,0
