term,country,cabinet_party,estimate,p.value,change_from_0_to_10
therm_diff_recode,Croatia,0,-0.013647859366749948,6.367928897784282e-5,-0.13647859366749948
therm_diff_recode,Croatia,1,0.014079542657308153,0.0011751572049119835,0.14079542657308153
therm_diff_recode,Denmark,0,-0.005295250247006056,0.005920133683046703,-0.05295250247006056
therm_diff_recode,Denmark,1,0.0018761062115513205,0.42399258018144315,0.018761062115513205
therm_diff_recode,Finland,0,1.1237238206618372e-4,0.973909755248199,0.0011237238206618372
therm_diff_recode,Finland,1,-0.007346937140828569,0.023597737983559495,-0.07346937140828569
therm_diff_recode,France,0,-0.014741033512372104,1.1689699354795481e-12,-0.14741033512372104
therm_diff_recode,France,1,-0.0032236990112344266,0.3320721539025861,-0.032236990112344266
therm_diff_recode,Germany,0,-0.011726943672157875,7.404807277124468e-7,-0.11726943672157875
therm_diff_recode,Germany,1,-0.015066380927714063,1.2062712020493009e-10,-0.15066380927714063
therm_diff_recode,Greece,0,-0.009498235360505536,5.75387007658935e-4,-0.09498235360505536
therm_diff_recode,Greece,1,0.006106530623939399,0.10980009211639534,0.06106530623939399
therm_diff_recode,Hungary,0,-0.005229974999160225,0.009636852476184697,-0.05229974999160225
therm_diff_recode,Hungary,1,0.005082574077053259,0.09468973781303829,0.05082574077053259
therm_diff_recode,Italy,0,-0.0103578736466714,1.3173817159922765e-5,-0.103578736466714
therm_diff_recode,Italy,1,0.00371439922125516,0.11517506763385298,0.0371439922125516
therm_diff_recode,Lithuania,0,-0.0036510284615043354,0.20780238339663412,-0.036510284615043354
therm_diff_recode,Lithuania,1,4.3905588503756476e-4,0.8987181152817885,0.004390558850375648
therm_diff_recode,Netherlands,0,-0.009504681568184292,0.00774224821243998,-0.09504681568184292
therm_diff_recode,Netherlands,1,-0.00646352761707325,0.0691180593932713,-0.0646352761707325
therm_diff_recode,Poland,0,-0.0170871167964326,3.2526604167310424e-11,-0.170871167964326
therm_diff_recode,Poland,1,-3.1136068362469516e-4,0.9174172516383654,-0.0031136068362469516
therm_diff_recode,Romania,0,-0.01098969652496562,0.0033195236791561645,-0.1098969652496562
therm_diff_recode,Romania,1,-0.010719064661574018,0.001005683838516849,-0.10719064661574018
therm_diff_recode,Slovakia,0,-0.008970233214611323,0.002552991584942461,-0.08970233214611323
therm_diff_recode,Slovakia,1,0.0012650055413176986,0.7648667005339014,0.012650055413176986
therm_diff_recode,Spain,0,-0.011182303213341793,1.952462544865838e-9,-0.11182303213341793
therm_diff_recode,Spain,1,0.002768527822882838,0.23870284617934442,0.02768527822882838
therm_diff_recode,Sweden,0,-0.006953520527652746,2.3719397030552e-5,-0.06953520527652746
therm_diff_recode,Sweden,1,-0.00206575677491605,0.46783336628672195,-0.0206575677491605
therm_diff_recode,United Kingdom,0,-0.00996393042151933,4.3726298270866954e-7,-0.09963930421519329
therm_diff_recode,United Kingdom,1,0.007746534968988694,0.0032548928117726527,0.07746534968988694
